,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"Table 2: FOR 2008 - RFCD 1998",,,
"FOR 2008 Code","FOR 2008 Name","RFCD 1998 Code","RFCD 1998 Name"
"010101","Algebra and Number Theory","230102","Number Theory and Field Theory "
"010101","Algebra and Number Theory","230103","Rings and Algebras "
"010102","Algebraic and Differential Geometry","230111p","Geometry "
"010103","Category Theory, K Theory, Homological Algebra ","230104","Category Theory, K Theory, Homological Algebra "
"010104","Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)","230101p","Mathematical Logic, Set Theory, Lattices and Combinatorics "
"010104","Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)","230199p","Mathematics not elsewhere classified "
"010104","Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)","280405p","Discrete Mathematics "
"010105","Group Theory and Generalisations","230105p","Group Theory and Generalisations (incl. Topological Groups and Lie Groups) "
"010106","Lie Groups, Harmonic and Fourier Analysis","230108","Harmonic and Fourier Analysis"
"010106","Lie Groups, Harmonic and Fourier Analysis","230105p","Group Theory and Generalisations (incl. Topological Groups and Lie Groups) "
"010107","Mathematical Logic, Set Theory, Lattices and Universal Algebra","230101p","Mathematical Logic, Set Theory, Lattices and Combinatorics "
"010107","Mathematical Logic, Set Theory, Lattices and Universal Algebra","230199p","Mathematics not elsewhere classified "
"010108","Operator Algebras and Functional Analysis","230109","Functional Analysis"
"010108","Operator Algebras and Functional Analysis","230199p","Mathematics not elsewhere classified "
"010109","Ordinary Differential Equations, Difference Equations and Dynamical Systems","230113","Dynamical Systems"
"010109","Ordinary Differential Equations, Difference Equations and Dynamical Systems","230107p","Differential, Difference and Integral Equations"
"010110","Partial Differential Equations","230107p","Differential, Difference and Integral Equations"
"010111","Real and Complex Functions (incl. Several Variables)","230106","Real and Complex Functions "
"010111","Real and Complex Functions (incl. Several Variables)","230114","Functions of Several Complex Variables "
"010112","Topology","230112p","Topology and Manifolds "
"010199","Pure Mathematics not elsewhere classified","230107p","Differential, Difference and Integral Equations"
"010199","Pure Mathematics not elsewhere classified","230111p","Geometry "
"010199","Pure Mathematics not elsewhere classified","230112p","Topology and Manifolds "
"010199","Pure Mathematics not elsewhere classified","230199p","Mathematics not elsewhere classified "
"010201","Approximation Theory and Asymptotic Methods","230115","Approximation Theory "
"010201","Approximation Theory and Asymptotic Methods","230199p","Mathematics not elsewhere classified "
"010202","Biological Mathematics ","239901","Biological Mathematics "
"010203","Calculus of Variations, Systems Theory and Control Theory","230110","Calculus of Variations and Control Theory"
"010203","Calculus of Variations, Systems Theory and Control Theory","230119","Systems Theory and Control "
"010204","Dynamical Systems in Applications","230199p","Mathematics not elsewhere classified "
"010205","Financial Mathematics","239902","Actuarial Mathematics"
"010205","Financial Mathematics","239903","Risk theory"
"010206","Operations Research","230117","Operations Research"
"010207","Theoretical and Applied Mechanics","230199p","Mathematics not elsewhere classified "
"010299","Applied Mathematics not elsewhere classified","230199p","Mathematics not elsewhere classified "
"010301","Numerical Analysis ","230116","Numerical Analysis "
"010301","Numerical Analysis ","280404p","Numerical Analysis "
"010302","Numerical Solution of Differential and Integral Equations","230199p","Mathematics not elsewhere classified "
