Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Mathematical Sciences,Pure Mathematics,Algebra and Number Theory,010101
Mathematical Sciences,Pure Mathematics,Algebraic and Differential Geometry,010102
Mathematical Sciences,Pure Mathematics,"Category Theory, K Theory, Homological Algebra ",010103
Mathematical Sciences,Pure Mathematics,Combinatorics and Discrete Mathematics (excl. Physical Combinatorics),010104
Mathematical Sciences,Pure Mathematics,Group Theory and Generalisations,010105
Mathematical Sciences,Pure Mathematics,"Lie Groups, Harmonic and Fourier Analysis",010106
Mathematical Sciences,Pure Mathematics,"Mathematical Logic, Set Theory, Lattices and Universal Algebra",010107
Mathematical Sciences,Pure Mathematics,Operator Algebras and Functional Analysis,010108
Mathematical Sciences,Pure Mathematics,"Ordinary Differential Equations, Difference Equations and Dynamical Systems",010109
Mathematical Sciences,Pure Mathematics,Partial Differential Equations,010110
Mathematical Sciences,Pure Mathematics,Real and Complex Functions (incl. Several Variables),010111
Mathematical Sciences,Pure Mathematics,Topology,010112
Mathematical Sciences,Pure Mathematics,Pure Mathematics not elsewhere classified,010199
Mathematical Sciences,Applied Mathematics,Approximation Theory and Asymptotic Methods,010201
Mathematical Sciences,Applied Mathematics,Biological Mathematics,010202
Mathematical Sciences,Applied Mathematics,"Calculus of Variations, Systems Theory and Control Theory",010203
Mathematical Sciences,Applied Mathematics,Dynamical Systems in Applications,010204
Mathematical Sciences,Applied Mathematics,Financial Mathematics,010205
Mathematical Sciences,Applied Mathematics,Operations Research,010206
Mathematical Sciences,Applied Mathematics,Theoretical and Applied Mechanics,010207
Mathematical Sciences,Applied Mathematics,Applied Mathematics not elsewhere classified,010299
Mathematical Sciences,Numerical And Computational Mathematics,Numerical Analysis,010301
Mathematical Sciences,Numerical And Computational Mathematics,Numerical Solution of Differential and Integral Equations,010302
Mathematical Sciences,Numerical And Computational Mathematics,Optimisation,010303
Mathematical Sciences,Numerical And Computational Mathematics,Numerical and Computational Mathematics not elsewhere classified,010399
Mathematical Sciences,Statistics,Applied Statistics,010401
Mathematical Sciences,Statistics,Biostatistics,010402
Mathematical Sciences,Statistics,Forensic Statistics,010403
Mathematical Sciences,Statistics,Probability Theory,010404
Mathematical Sciences,Statistics,Statistical Theory,010405
Mathematical Sciences,Statistics,Stochastic Analysis and Modelling,010406
Mathematical Sciences,Statistics,Statistics not elsewhere classified,010499
Mathematical Sciences,Mathematical Physics,Algebraic Structures in Mathematical Physics,010501
Mathematical Sciences,Mathematical Physics,Integrable Systems (Classical and Quantum),010502
Mathematical Sciences,Mathematical Physics,"Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory",010503
Mathematical Sciences,Mathematical Physics,Mathematical Aspects of General Relativity,010504
Mathematical Sciences,Mathematical Physics,"Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory",010505
Mathematical Sciences,Mathematical Physics,"Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter",010506
Mathematical Sciences,Mathematical Physics,Mathematical Physics not elsewhere classified,010599
Mathematical Sciences,Other Mathematical Sciences,Mathematical Sciences not elsewhere classified,019999
Physical Sciences,Astronomical And Space Sciences,Astrobiology,020101
Physical Sciences,Astronomical And Space Sciences,Astronomical and Space Instrumentation,020102
Physical Sciences,Astronomical And Space Sciences,Cosmology and Extragalactic Astronomy,020103
Physical Sciences,Astronomical And Space Sciences,Galactic Astronomy,020104
Physical Sciences,Astronomical And Space Sciences,General Relativity and Gravitational Waves,020105
Physical Sciences,Astronomical And Space Sciences,High Energy Astrophysics; Cosmic Rays,020106
Physical Sciences,Astronomical And Space Sciences,"Mesospheric, Ionospheric and Magnetospheric Physics",020107
Physical Sciences,Astronomical And Space Sciences,Planetary Science (excl. Extraterrestrial Geology),020108
Physical Sciences,Astronomical And Space Sciences,Space and Solar Physics,020109
Physical Sciences,Astronomical And Space Sciences,Stellar Astronomy and Planetary Systems,020110
Physical Sciences,Astronomical And Space Sciences,Astronomical and Space Sciences not elsewhere classified,020199
Physical Sciences,"Atomic, Molecular, Nuclear, Particle And Plasma Physics",Atomic and Molecular Physics,020201
Physical Sciences,"Atomic, Molecular, Nuclear, Particle And Plasma Physics",Nuclear Physics,020202
Physical Sciences,"Atomic, Molecular, Nuclear, Particle And Plasma Physics",Particle Physics,020203
Physical Sciences,"Atomic, Molecular, Nuclear, Particle And Plasma Physics",Plasma Physics; Fusion Plasmas; Electrical Discharges,020204
Physical Sciences,"Atomic, Molecular, Nuclear, Particle And Plasma Physics","Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified",020299
Physical Sciences,Classical Physics,Acoustics and Acoustical Devices; Waves,020301
Physical Sciences,Classical Physics,Electrostatics and Electrodynamics,020302
Physical Sciences,Classical Physics,Fluid Physics,020303
Physical Sciences,Classical Physics,Thermodynamics and Statistical Physics,020304
Physical Sciences,Classical Physics,Classical Physics not elsewhere classified,020399
Physical Sciences,Condensed Matter Physics,Condensed Matter Characterisation Technique Development,020401
Physical Sciences,Condensed Matter Physics,Condensed Matter Imaging,020402
Physical Sciences,Condensed Matter Physics,Condensed Matter Modelling and Density Functional Theory,020403
Physical Sciences,Condensed Matter Physics,Electronic and Magnetic Properties of Condensed Matter; Superconductivity,020404
Physical Sciences,Condensed Matter Physics,Soft Condensed Matter,020405
Physical Sciences,Condensed Matter Physics,Surfaces and Structural Properties of Condensed Matter,020406
Physical Sciences,Condensed Matter Physics,Condensed Matter Physics not elsewhere classified,020499
Physical Sciences,Optical Physics,Classical and Physical Optics,020501
Physical Sciences,Optical Physics,Lasers and Quantum Electronics,020502
Physical Sciences,Optical Physics,Nonlinear Optics and Spectroscopy,020503
Physical Sciences,Optical Physics,"Photonics, Optoelectronics and Optical Communications",020504
Physical Sciences,Optical Physics,Optical Physics not elsewhere classified,020599
Physical Sciences,Quantum Physics,Degenerate Quantum Gases and Atom Optics,020601
Physical Sciences,Quantum Physics,Field Theory and String Theory,020602
Physical Sciences,Quantum Physics,"Quantum Information, Computation and Communication",020603
Physical Sciences,Quantum Physics,Quantum Optics,020604
Physical Sciences,Quantum Physics,Quantum Physics not elsewhere classified,020699
Physical Sciences,Other Physical Sciences,Biological Physics,029901
Physical Sciences,Other Physical Sciences,Complex Physical Systems,029902
Physical Sciences,Other Physical Sciences,Medical Physics,029903
Physical Sciences,Other Physical Sciences,Synchrotrons; Accelerators; Instruments and Techniques,029904
Physical Sciences,Other Physical Sciences,Physical Sciences not elsewhere classified,029999
Chemical Sciences,Analytical Chemistry,Analytical Spectrometry,030101
Chemical Sciences,Analytical Chemistry,Electroanalytical Chemistry,030102
Chemical Sciences,Analytical Chemistry,Flow Analysis,030103
Chemical Sciences,Analytical Chemistry,Immunological and Bioassay Methods,030104
Chemical Sciences,Analytical Chemistry,Instrumental Methods (excl. Immunological and Bioassay Methods),030105
Chemical Sciences,Analytical Chemistry,"Quality Assurance, Chemometrics, Traceability and Metrological Chemistry",030106
Chemical Sciences,Analytical Chemistry,Sensor Technology (Chemical aspects),030107
Chemical Sciences,Analytical Chemistry,Separation Science,030108
Chemical Sciences,Analytical Chemistry,Analytical Chemistry not elsewhere classified,030199
Chemical Sciences,Inorganic Chemistry,Bioinorganic Chemistry,030201
Chemical Sciences,Inorganic Chemistry,f-Block Chemistry,030202
Chemical Sciences,Inorganic Chemistry,Inorganic Green Chemistry,030203
Chemical Sciences,Inorganic Chemistry,Main Group Metal Chemistry,030204
Chemical Sciences,Inorganic Chemistry,Non-metal Chemistry,030205
Chemical Sciences,Inorganic Chemistry,Solid State Chemistry,030206
Chemical Sciences,Inorganic Chemistry,Transition Metal Chemistry,030207
Chemical Sciences,Inorganic Chemistry,Inorganic Chemistry not elsewhere classified,030299
Chemical Sciences,Macromolecular And Materials Chemistry,Chemical Characterisation of Materials,030301
Chemical Sciences,Macromolecular And Materials Chemistry,Nanochemistry and Supramolecular Chemistry,030302
Chemical Sciences,Macromolecular And Materials Chemistry,Optical Properties of Materials,030303
Chemical Sciences,Macromolecular And Materials Chemistry,Physical Chemistry of Materials,030304
Chemical Sciences,Macromolecular And Materials Chemistry,Polymerisation Mechanisms,030305
Chemical Sciences,Macromolecular And Materials Chemistry,Synthesis of Materials,030306
Chemical Sciences,Macromolecular And Materials Chemistry,Theory and Design of Materials,030307
Chemical Sciences,Macromolecular And Materials Chemistry,Macromolecular and Materials Chemistry not elsewhere classified,030399
Chemical Sciences,Medicinal And Biomolecular Chemistry,Biologically Active Molecules,030401
Chemical Sciences,Medicinal And Biomolecular Chemistry,Biomolecular Modelling and Design,030402
Chemical Sciences,Medicinal And Biomolecular Chemistry,Characterisation of Biological Macromolecules,030403
Chemical Sciences,Medicinal And Biomolecular Chemistry,Cheminformatics and Quantitative Structure-Activity Relationships,030404
Chemical Sciences,Medicinal And Biomolecular Chemistry,Molecular Medicine,030405
Chemical Sciences,Medicinal And Biomolecular Chemistry,Proteins and Peptides,030406
Chemical Sciences,Medicinal And Biomolecular Chemistry,Medicinal and Biomolecular Chemistry not elsewhere classified,030499
Chemical Sciences,Organic Chemistry,Free Radical Chemistry,030501
Chemical Sciences,Organic Chemistry,Natural Products Chemistry,030502
Chemical Sciences,Organic Chemistry,Organic Chemical Synthesis,030503
Chemical Sciences,Organic Chemistry,Organic Green Chemistry,030504
Chemical Sciences,Organic Chemistry,Physical Organic Chemistry,030505
