,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"Table 1: RFCD 1998 - FOR 2008",,,
"RFCD 1998 Code","RFCD 1998 Name","FOR 2008 Code","FOR 2008 Name"
230101,"Mathematical Logic, Set Theory, Lattices and Combinatorics ","010104p","Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)"
230101,"Mathematical Logic, Set Theory, Lattices and Combinatorics ","010107p","Mathematical Logic, Set Theory, Lattices and Universal Algebra"
230101,"Mathematical Logic, Set Theory, Lattices and Combinatorics ","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
230102,"Number Theory and Field Theory ","010101p","Algebra and Number Theory"
230103,"Rings and Algebras ","010101p","Algebra and Number Theory"
230104,"Category Theory, K Theory, Homological Algebra ","010103","Category Theory, K Theory, Homological Algebra "
230105,"Group Theory and Generalisations (incl. Topological Groups and Lie Groups) ","010105","Group Theory and Generalisations"
230105,"Group Theory and Generalisations (incl. Topological Groups and Lie Groups) ","010106p","Lie Groups, Harmonic and Fourier Analysis"
230106,"Real and Complex Functions ","010111p","Real and Complex Functions (incl. Several Variables)"
230107,"Differential, Difference and Integral Equations","010109p","Ordinary Differential Equations, Difference Equations and Dynamical Systems"
230107,"Differential, Difference and Integral Equations","010110","Partial Differential Equations"
230107,"Differential, Difference and Integral Equations","010199p","Pure Mathematics not elsewhere classified"
230107,"Differential, Difference and Integral Equations","010502p","Integrable Systems (Classical and Quantum)"
230107,"Differential, Difference and Integral Equations","019999p","Mathematical Sciences not elsewhere classified "
230108,"Harmonic and Fourier Analysis","010106p","Lie Groups, Harmonic and Fourier Analysis"
230109,"Functional Analysis","010108p","Operator Algebras and Functional Analysis"
230110,"Calculus of Variations and Control Theory","010203p","Calculus of Variations, Systems Theory and Control Theory"
230111,"Geometry ","010102","Algebraic and Differential Geometry"
230111,"Geometry ","010199p","Pure Mathematics not elsewhere classified"
230112,"Topology and Manifolds ","010112","Topology"
230112,"Topology and Manifolds ","010199p","Pure Mathematics not elsewhere classified"
230113,"Dynamical Systems","010109p","Ordinary Differential Equations, Difference Equations and Dynamical Systems"
230114,"Functions of Several Complex Variables ","010111p","Real and Complex Functions (incl. Several Variables)"
230115,"Approximation Theory ","010201p","Approximation Theory and Asymptotic Methods"
230116,"Numerical Analysis ","010301p","Numerical Analysis "
230117,"Operations Research","010206","Operations Research"
230118,"Optimisation ","010303","Optimisation "
230119,"Systems Theory and Control ","010203p","Calculus of Variations, Systems Theory and Control Theory"
230199,"Mathematics not elsewhere classified ","010104p","Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)"
230199,"Mathematics not elsewhere classified ","010107p","Mathematical Logic, Set Theory, Lattices and Universal Algebra"
230199,"Mathematics not elsewhere classified ","010108p","Operator Algebras and Functional Analysis"
230199,"Mathematics not elsewhere classified ","010199p","Pure Mathematics not elsewhere classified"
230199,"Mathematics not elsewhere classified ","010201p","Approximation Theory and Asymptotic Methods"
230199,"Mathematics not elsewhere classified ","010204","Dynamical Systems in Applications"
230199,"Mathematics not elsewhere classified ","010207","Theoretical and Applied Mechanics"
230199,"Mathematics not elsewhere classified ","010299","Applied Mathematics not elsewhere classified"
