,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"Table 4: SEO 2008 - SEO 1998",,,
"SEO 2008 Code","SEO 2008 Name","SEO 1998 Code","SEO 1998 Name"
"810101","Air Force","610103p","Air Force"
"810102","Army","610102p","Army"
"810103","Command, Control and Communications","610101p","Navy"
"810103","Command, Control and Communications","610102p","Army"
"810103","Command, Control and Communications","610103p","Air Force"
"810103","Command, Control and Communications","610104p","Combined Operations"
"810103","Command, Control and Communications","610199p","Other"
"810104","Emerging Defence Technologies","610104p","Combined Operations"
"810104","Emerging Defence Technologies","610199p","Other"
"810105","Intelligence","610101p","Navy"
"810105","Intelligence","610102p","Army"
"810105","Intelligence","610103p","Air Force"
"810105","Intelligence","610104p","Combined Operations"
"810105","Intelligence","610199p","Other"
"810106","Logistics","610101p","Navy"
"810106","Logistics","610102p","Army"
"810106","Logistics","610103p","Air Force"
"810106","Logistics","610104p","Combined Operations"
"810106","Logistics","610199p","Other"
"810107","National Security","610104p","Combined Operations"
"810107","National Security","610199p","Other"
"810108","Navy","610101p","Navy"
"810109","Personnel","610101p","Navy"
"810109","Personnel","610102p","Army"
"810109","Personnel","610103p","Air Force"
"810109","Personnel","610104p","Combined Operations"
"810109","Personnel","610199p","Other"
"810199","Defence not elsewhere classified","610199p","Other"
"820101","Hardwood Plantations",620303,"Hardwood Plantations"
"820102","Harvesting and Transport of Forest Products",620304,"Harvesting and Transport of Forest Products"
"820103","Integration of Farm and Forestry",620305,"Integration of Farm and Forestry"
"820104","Native Forests",620301,"Native Forests"
"820105","Softwood Plantations",620302,"Softwood Plantations"
"820199","Forestry not elsewhere classified","620399p","Forestry not elsewhere classified"
"820201","Almonds","620207p","Tree Nuts"
"820202","Berry Fruit (excl. Kiwifruit)","620206p","Berry Fruit"
"820203","Citrus Fruit",620203,"Citrus"
"820204","Hops","620299p","Horticultural Crops not elsewhere classified"
"820205","Kiwifruit","620206p","Berry Fruit"
"820206","Macadamias","620207p","Tree Nuts"
"820207","Mushrooms and Truffles","620299p","Horticultural Crops not elsewhere classified"
"820208","Olives","620299p","Horticultural Crops not elsewhere classified"
"820209","Ornamentals, Natives, Flowers and Nursery Plants",620209,"Ornamentals, Australian Natives and Nursery Plants"
"820209","Ornamentals, Natives, Flowers and Nursery Plants","620299p","Horticultural Crops not elsewhere classified"
"820210","Pome Fruit, Pip Fruit",620202,"Pome Fruit"
"820211","Stone Fruit",620201,"Stone Fruit"
"820212","Table Grapes","620204p","Grapes"
"820213","Tree Nuts (excl. Almonds and Macadamias)","620207p","Tree Nuts"
"820214","Tropical Fruit",620205,"Tropical Fruit"
"820215","Vegetables",620208,"Vegetables"
"820299","Horticultural Crops not elsewhere classified","620299p","Horticultural Crops not elsewhere classified"
"820301","Cotton",620107,"Cotton"
"820302","Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)","620199p","Field Crops not elsewhere classified"
"820303","Plant Extract Crops (e.g. Pyrethrum, Jojoba)","620199p","Field Crops not elsewhere classified"
"820304","Sugar",620106,"Sugar"
"820305","Tobacco","620199p","Field Crops not elsewhere classified"
"820306","Wine Grapes","620204p","Grapes"
