"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Defence","Defence","Defence","Air Force","810101"
"Defence","Defence","Defence","Army","810102"
"Defence","Defence","Defence","Command, Control and Communications","810103"
"Defence","Defence","Defence","Emerging Defence Technologies","810104"
"Defence","Defence","Defence","Intelligence","810105"
"Defence","Defence","Defence","Logistics","810106"
"Defence","Defence","Defence","National Security","810107"
"Defence","Defence","Defence","Navy","810108"
"Defence","Defence","Defence","Personnel","810109"
"Defence","Defence","Defence","Defence not elsewhere classified","810199"
"Economic Development","Plant Production And Plant Primary Products","Forestry","Hardwood Plantations","820101"
"Economic Development","Plant Production And Plant Primary Products","Forestry","Harvesting and Transport of Forest Products","820102"
"Economic Development","Plant Production And Plant Primary Products","Forestry","Integration of Farm and Forestry","820103"
"Economic Development","Plant Production And Plant Primary Products","Forestry","Native Forests","820104"
"Economic Development","Plant Production And Plant Primary Products","Forestry","Softwood Plantations","820105"
"Economic Development","Plant Production And Plant Primary Products","Forestry","Forestry not elsewhere classified","820199"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Almonds","820201"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Berry Fruit (excl. Kiwifruit)","820202"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Citrus Fruit","820203"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Hops","820204"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Kiwifruit","820205"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Macadamias","820206"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Mushrooms and Truffles","820207"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Olives","820208"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Ornamentals, Natives, Flowers and Nursery Plants","820209"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Pome Fruit, Pip Fruit","820210"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Stone Fruit","820211"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Table Grapes","820212"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Tree Nuts (excl. Almonds and Macadamias)","820213"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Tropical Fruit","820214"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Vegetables","820215"
"Economic Development","Plant Production And Plant Primary Products","Horticultural Crops","Horticultural Crops not elsewhere classified","820299"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Cotton","820301"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)","820302"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Plant Extract Crops (e.g. Pyrethrum, Jojoba)","820303"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Sugar","820304"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Tobacco","820305"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Wine Grapes","820306"
"Economic Development","Plant Production And Plant Primary Products","Industrial Crops","Industrial Crops not elsewhere classified","820399"
"Economic Development","Plant Production And Plant Primary Products","Summer Grains and Oilseeds","Maize","820401"
"Economic Development","Plant Production And Plant Primary Products","Summer Grains and Oilseeds","Rice","820402"
"Economic Development","Plant Production And Plant Primary Products","Summer Grains and Oilseeds","Safflower Seed","820403"
"Economic Development","Plant Production And Plant Primary Products","Summer Grains and Oilseeds","Sorghum","820404"
"Economic Development","Plant Production And Plant Primary Products","Summer Grains and Oilseeds","Soybeans","820405"
"Economic Development","Plant Production And Plant Primary Products","Summer Grains and Oilseeds","Summer Grains and Oilseeds not elsewhere classified","820499"
"Economic Development","Plant Production And Plant Primary Products","Winter Grains and Oilseeds","Barley","820501"
"Economic Development","Plant Production And Plant Primary Products","Winter Grains and Oilseeds","Canola","820502"
"Economic Development","Plant Production And Plant Primary Products","Winter Grains and Oilseeds","Grain Legumes","820503"
"Economic Development","Plant Production And Plant Primary Products","Winter Grains and Oilseeds","Linseed","820504"
